City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Kyshtovka,RU,2022-01-06 21:13:55,overcast clouds,56.555,76.6271,6.4,97,93,7.96
119,Georgetown,MY,2022-01-06 21:13:56,few clouds,5.4112,100.3354,80.89,76,20,5.75
120,Boromlya,UA,2022-01-06 21:13:56,overcast clouds,50.6184,34.9704,32.22,92,100,6.42
121,Diffa,NE,2022-01-06 21:13:57,broken clouds,13.3154,12.6113,71.78,18,84,6.64
122,Omsukchan,RU,2022-01-06 21:13:57,scattered clouds,62.5333,155.8,-10.91,90,42,6.04
123,Ucluelet,CA,2022-01-06 21:13:57,light snow,48.9329,-125.5528,34.05,98,100,8.34
124,Santa Isabel Do Rio Negro,BR,2022-01-06 21:13:58,overcast clouds,-0.4139,-65.0192,88.38,54,94,3.36
125,Bilibino,RU,2022-01-06 21:13:58,overcast clouds,68.0546,166.4372,8.67,75,100,2.84
126,Saint George,US,2022-01-06 21:13:58,clear sky,37.1041,-113.5841,64.35,45,0,1.99
127,Lebu,CL,2022-01-06 21:13:59,clear sky,-37.6167,-73.65,61.52,79,3,17.94
128,Mayo,US,2022-01-06 21:13:59,overcast clouds,38.8876,-76.5119,42.42,51,98,3.0
129,Lykhivka,UA,2022-01-06 21:13:59,overcast clouds,48.6874,33.9228,37.9,91,100,9.13
130,Imatra,FI,2022-01-06 21:14:00,broken clouds,61.1719,28.7524,17.13,90,83,3.0
131,Hermanus,ZA,2022-01-06 21:14:00,broken clouds,-34.4187,19.2345,65.8,78,84,15.64
132,Carmen,MX,2022-01-06 21:14:01,few clouds,18.6333,-91.8333,84.24,58,20,8.05
133,Kapit,MY,2022-01-06 21:14:01,overcast clouds,2.0167,112.9333,72.27,99,98,0.87
134,San Marcos,US,2022-01-06 21:13:45,clear sky,33.1434,-117.1661,80.83,52,0,3.0
135,Hithadhoo,MV,2022-01-06 21:14:02,overcast clouds,-0.6,73.0833,81.45,77,100,6.55
136,Souillac,MU,2022-01-06 21:14:02,broken clouds,-20.5167,57.5167,75.58,94,75,3.44
137,Bethel,US,2022-01-06 21:14:02,clear sky,41.3712,-73.414,37.56,57,0,1.01
138,Yarada,IN,2022-01-06 21:14:03,mist,17.65,83.2667,68.32,100,20,2.3
139,Gobabis,NA,2022-01-06 21:14:03,broken clouds,-22.45,18.9667,78.67,36,59,5.12
140,Codrington,AU,2022-01-06 21:14:03,scattered clouds,-38.2667,141.9667,63.27,93,34,1.66
141,Tadpatri,IN,2022-01-06 21:14:04,clear sky,14.9167,78.0167,68.11,85,6,5.79
142,Kruisfontein,ZA,2022-01-06 21:14:04,overcast clouds,-34.0033,24.7314,66.88,93,100,12.55
143,Jardim,BR,2022-01-06 21:14:04,broken clouds,-21.4803,-56.1381,85.01,49,77,7.29
144,Vytegra,RU,2022-01-06 21:14:05,overcast clouds,61.0064,36.4481,12.6,96,99,6.4
145,Udachnyy,RU,2022-01-06 21:14:05,overcast clouds,66.4167,112.4,-10.03,97,100,4.63
146,Xiuyan,CN,2022-01-06 21:14:06,clear sky,40.2928,123.2744,18.46,47,0,2.55
147,Yar-Sale,RU,2022-01-06 21:14:06,overcast clouds,66.8333,70.8333,-7.85,90,100,13.82
148,Sur,OM,2022-01-06 21:14:06,few clouds,22.5667,59.5289,70.61,48,22,21.27
149,Dikson,RU,2022-01-06 21:14:07,overcast clouds,73.5069,80.5464,-9.87,95,100,13.33
150,San Cristobal,VE,2022-01-06 21:14:07,broken clouds,7.7669,-72.225,77.18,29,53,4.59
151,Tura,IN,2022-01-06 21:14:07,clear sky,25.5198,90.2201,57.16,69,2,3.38
152,Tsogni,GA,2022-01-06 21:14:08,broken clouds,-2.7942,10.0988,76.51,90,54,4.12
153,Kahului,US,2022-01-06 21:14:08,few clouds,20.8947,-156.47,79.86,74,20,10.36
