City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Nakatsu,JP,41.04,broken clouds,33.5981,131.1883,Toyoko Inn Oita Nakatsu Ekimae
294,Lagoa,PT,56.62,overcast clouds,39.05,-27.9833,Casa Das Faias
295,San Patricio,US,83.08,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
296,Dobsice,CZ,31.39,clear sky,48.8483,16.0822,Hotel Morava
297,Machali,CL,83.48,clear sky,-34.1833,-70.6667,Mining House
298,Pryyutivka,UA,37.38,overcast clouds,48.7209,33.0708,"Многоквартирный Дом по адресу: Войновское шосе 12,"
300,Belyy Yar,RU,4.89,smoke,53.6039,91.3903,Pasportnyy Stol
301,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
303,Waddan,LY,56.66,clear sky,29.1614,16.139,محل الشريف محمد العايب
304,Pascagoula,US,75.42,few clouds,30.3658,-88.5561,Regency Inn
305,Leeton,AU,69.85,thunderstorm,-34.5667,146.4,Historic Hydro Motor Inn
306,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
307,Buraydah,SA,48.65,clear sky,26.326,43.975,فندق راحة السلام
308,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
309,Kalabagh,PK,52.57,light rain,32.965,71.557,Paracha nimko shop
310,Thyolo,MW,65.84,overcast clouds,-16.0678,35.1405,Chawani Bungalow
311,Waingapu,ID,78.67,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
312,Jiuquan,CN,18.75,broken clouds,39.7432,98.5174,Jiuquan Hotel
313,Darovskoy,RU,8.37,overcast clouds,58.77,47.9564,"Hotel ""Central"""
314,Ozu,JP,38.82,broken clouds,33.5,132.55,HOTEL FOREST
315,Shelburne,CA,22.28,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
316,Kharagpur,IN,64.67,clear sky,22.3333,87.3333,Guin Bros Lodge
320,Bada,RU,4.48,overcast clouds,51.392,109.8717,Kafe Gostinitsa
321,Remedios,CU,85.12,clear sky,22.4947,-79.5458,Hostal Yunai
322,Lasa,IT,28.31,few clouds,46.6166,10.7002,Pension Feldgärtenhof
323,Padang,ID,77.05,heavy intensity rain,-0.9492,100.3543,Mercure Padang
324,Dingle,PH,71.37,few clouds,10.9995,122.6711,SEGAYA PROPERTY
325,Saldanha,ZA,66.25,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
326,Husavik,IS,37.31,broken clouds,66.0449,-17.3389,Bjarnabúð
327,Milkovo,RU,12.42,light snow,54.7167,158.6167,"Hotel ""Geologist"""
328,Tema,GH,84.61,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
329,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
330,Shimoda,JP,33.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
331,Kemijarvi,FI,14.07,light snow,66.7131,27.4306,Hotelli Kemijärvi
332,Bundaberg,AU,77.22,overcast clouds,-24.85,152.35,Takalvan Motel
333,Port Pirie,AU,60.89,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
335,Holly Springs,US,59.41,few clouds,35.6513,-78.8336,Hampton Inn & Suites Holly Springs
336,Bengkulu,ID,75.24,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
338,Okato,NZ,62.42,clear sky,-39.2,173.8833,Goodin Country Garden
339,Roma,US,30.06,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
340,Kawalu,ID,71.83,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
341,Tank,PK,55.31,light rain,32.2217,70.3793,Gula Jan Abdulai
342,Acari,PE,78.71,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
343,Nacala,MZ,76.5,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
345,Pringsewu,ID,73.92,overcast clouds,-5.3582,104.9744,Urban Style by Front One
346,Plast,RU,12.87,overcast clouds,54.3691,60.8136,S
347,Fortuna,US,62.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
348,Barabinsk,RU,9.64,overcast clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
349,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
350,Chiredzi,ZW,79.72,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
351,San Ramon,US,61.09,mist,37.7799,-121.978,San Ramon Marriott
352,Camopi,GF,75.4,overcast clouds,3.1655,-52.3158,La pousada
353,Quarai,BR,91.76,clear sky,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
354,Matamoros,MX,75.31,clear sky,25.5333,-103.25,Quinta Belem
355,Ribera,IT,52.39,overcast clouds,37.4984,13.2642,B&B Le Foglie D'Argento
356,San Jeronimo,PE,63.1,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
357,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
358,Orocue,CO,94.26,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
359,Rabaul,PG,79.84,light rain,-4.1967,152.1721,Rabaul Hotel
361,Noshiro,JP,31.62,snow,40.2039,140.0242,Hotel New Green Noshiro
362,Tongchuan,CN,30.74,overcast clouds,35.0806,109.0897,Tongchuan Hotel
364,Kampong Cham,KH,72.41,clear sky,11.9934,105.4635,7 Makara Hotel
365,Sili,CN,44.92,broken clouds,28.4,117.1667,Jiangchuan Hotel
367,Savannakhet,LA,63.57,broken clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
368,General Roca,AR,88.2,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
369,Vigrestad,NO,39.0,light snow,58.5667,5.7,Brusand Camping
370,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
371,Halifax,CA,40.48,clear sky,44.6453,-63.5724,Hotel Halifax
372,Montana,BG,43.21,overcast clouds,43.4125,23.225,Веста
374,Julio De Castilhos,BR,78.57,clear sky,-29.2269,-53.6817,Bladmir Rigol da Costa ME
375,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
377,Cuicatlan,MX,90.82,clear sky,17.8,-96.9667,Vieja Biblioteca
378,Dwarka,IN,69.75,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
379,Kaspiyskiy,RU,41.56,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
380,Pitkyaranta,RU,6.85,overcast clouds,61.5734,31.4792,Pitkyaranta hotel
381,Kutahya,TR,35.49,overcast clouds,39.4242,29.9833,Hilton Garden Inn Kutahya
382,Shubarkuduk,KZ,30.07,light snow,49.1447,56.4872,Sirius
383,Te Anau,NZ,52.75,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
386,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
